case,u1,u15,u2,median,p05,constrained,ce_annual,p05_at1475,median_at1475,dd70_at1475,calls_at1475
base,1.6,1.475,1.125,1.6,1.0,1.45,0.11552643021361964,0.056298220885845615,0.13859495162185698,0.35033333333333333,0.0
withholding15bp,1.6,1.45,1.1,1.6,1.0,1.45,0.11302949252067651,0.05393976229595401,0.13604610852568078,0.358,0.0
withholding30bp,1.6,1.425,1.075,1.6,1.0,1.425,0.11053786131457866,0.0515856516219609,0.13350375992546504,0.3626666666666667,0.0
AU_surcharge200bp,1.6,1.1,1.0,1.6,1.0,1.425,0.10468326230824831,0.04603177919505602,0.127565414232517,0.37766666666666665,0.0
persistent_drift2pct,1.6,1.3,1.0,1.6,1.0,1.45,0.10591876458318739,0.040697995491403786,0.13837576817974806,0.35733333333333334,0.0
persistent_drift3pct,1.6,1.125,1.0,1.6,1.0,1.425,0.09440368798443433,0.0240582017173699,0.13766364572990997,0.36766666666666664,0.0
combined_AU_30bp_drift2pct,1.575,1.0,1.0,1.6,1.0,1.4,0.09024670673294666,0.025768539417811157,0.1223184512228801,0.4103333333333333,0.11333333333333333
horizon10_gamma15,1.6,1.4,1.05,1.6,0.95,1.6,0.11226351272124724,-0.02119914410209196,0.13537784499311345,0.08133333333333333,0.0
rates_paired,1.6,1.525,1.15,1.6,1.0,1.45,0.1167885804781239,0.057670842386554066,0.1399451642383941,0.348,0.0
rates_unpaired,1.6,1.525,1.15,1.6,1.0,1.45,0.11680640588463187,0.05768266127127046,0.13980401251500096,0.3466666666666667,0.0
rates_mean,1.6,1.525,1.15,1.6,1.0,1.45,0.11684684750134444,0.05755629611891616,0.13993915210262542,0.347,0.0
stress75,1.6,1.475,1.125,1.6,1.0,1.6,0.1148545833596355,0.056971427022647986,0.13591557224577888,0.24466666666666667,1.0
p05_horizon10_cash,1.0,1.0,1.0,1.0,0.0,1.0,0.11226351272124724,-0.02119914410209196,0.13537784499311345,0.08133333333333333,0.0
