leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,rebalances,traded_notional,rebalance_cost_paid,ruin_day,ruin_deficit,terminal_net_equity,withdrawals_paid,withdrawal_failures,final_leverage,max_leverage_reached,episode,schedule,start,end
1.0,0.6496930825149607,-0.13455925758392773,0.24636065499672538,-0.5461880980374739,-0.5005051494727336,-0.26884689942887036,29.355095096305224,-0.07695040827726685,694,False,monthly,2.8721169939543343e-13,2.8721169939543342e-18,0.0,0.0,0,36,1.4551915228366852e-10,2.9103830456733704e-14,-1,0.0,64969.30825149607,0.0,0,1.0,1.0000000000000002,dot-com bust,monthly,2000-01-03,2002-12-31
1.25,0.5495756028158512,-0.18175843423479932,0.31040398237915007,-0.5855544533986884,-0.6011099031883851,-0.30237138545001985,36.80800019498658,-0.0991034941241129,694,False,monthly,3291.2663903033767,0.03291266390303377,0.0,0.0,0,36,39862.193187009274,7.972438637401855,-1,0.0,54957.560281585116,0.0,0,1.2458390993289297,1.3183926431115185,dot-com bust,monthly,2000-01-03,2002-12-31
1.5,0.4613725987987889,-0.22834777436249276,0.3756832957532384,-0.6078198763260408,-0.6838818652925467,-0.3338994436777638,43.4653485267931,-0.12259868942058127,694,False,monthly,6178.25164364332,0.0617825164364332,0.0,0.0,0,36,89404.33076059824,17.880866152119644,-1,0.0,46137.25987987889,0.0,0,1.4900469692473017,1.6736430702960836,dot-com bust,monthly,2000-01-03,2002-12-31
1.75,0.38434010127600543,-0.2741688870746014,0.4423573733879671,-0.6197904761364588,-0.7514637566732552,-0.3648464541900896,49.39906383126144,-0.14756176843106983,694,False,monthly,8695.618478107566,0.08695618478107567,0.0,0.0,0,36,146279.79149552126,29.255958299104254,-1,0.0,38434.010127600544,0.0,0,1.7326397917449885,2.0725445836205614,dot-com bust,monthly,2000-01-03,2002-12-31
2.0,0.31766783883612676,-0.3190612382496484,0.5106097545538837,-0.624863186423867,-0.8062053273247443,-0.3957567972273255,54.67690501449363,-0.1741347279004163,694,False,monthly,10871.112251588796,0.10871112251588796,0.0,0.0,0,36,208542.32630467246,41.70846526093451,-1,0.0,31766.783883612676,0.0,0,1.9736335354809358,2.5236692067039472,dot-com bust,monthly,2000-01-03,2002-12-31
2.25,0.2605669591839215,-0.3628072228238116,0.5806503677889124,-0.6248290588454518,-0.8501508344998823,-0.42675629794239983,59.35627916329274,-0.2024623704507802,694,False,monthly,12705.885197460122,0.12705885197460123,0.0,0.0,0,36,274648.4302162026,54.92968604324051,-1,0.0,26056.69591839215,0.0,0,2.2130439592870945,3.037780174033896,dot-com bust,monthly,2000-01-03,2002-12-31
2.5,0.21204155140555314,-0.40532542804202276,0.6527405494119077,-0.6209594737253633,-0.8851344345662546,-0.45792527351017104,63.49866869884116,-0.23273931269652726,694,False,monthly,14242.682969289724,0.14242682969289724,0.0,0.0,0,36,343432.1175895741,68.68642351791483,-1,0.0,21204.155140555315,0.0,0,2.4508866156035305,3.6292412026932563,dot-com bust,monthly,2000-01-03,2002-12-31
2.75,0.1677917495034476,-0.4501861438143825,0.7240401634994512,-0.6217695737188531,-0.9144612291956449,-0.49229658890007155,67.65595233697401,-0.2654082655671778,694,False,monthly,15269.49323607379,0.1526949323607379,0.0,16.240902890483046,1,36,395016.4718833259,79.0032943766652,-1,0.0,16779.17495034476,0.0,0,2.687176853846266,4.0,dot-com bust,monthly,2000-01-03,2002-12-31
3.0,0.1247466028120201,-0.502178720687728,0.7910506119536144,-0.6348250201684627,-0.9390358840241456,-0.534781182733604,71.95834113979855,-0.3007987128353601,694,False,monthly,15673.800572981138,0.15673800572981136,0.0,55.204816817935956,4,36,421200.4551628467,84.24009103256935,-1,0.0,12474.66028120201,0.0,0,2.92192982370939,4.000000000000001,dot-com bust,monthly,2000-01-03,2002-12-31
1.0,0.6496930825149607,-0.13455925758392773,0.24636065499672538,-0.5461880980374739,-0.5005051494727335,-0.2688468994288704,29.355095096305217,-0.07695040827726685,694,False,never,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,0.0,64969.30825149607,0.0,0,1.0,1.0,dot-com bust,never,2000-01-03,2002-12-31
