strategy,initial_leverage,cagr_p05,cagr_median,median_max_drawdown,prob_dd_over_50,p05_worst_vs_contributed,median_margin_calls,median_mean_leverage,median_final_leverage
constant leverage,1.0,0.057109532951225575,0.1556948512699322,-0.2860531106351157,0.019333333333333334,0.724317541708461,0.0,1.0,1.0
constant leverage,1.25,0.05705620180635469,0.1830949149574317,-0.35550005222479186,0.09266666666666666,0.6505610459600856,0.0,1.2488993790855434,1.245673266812262
constant leverage,1.5,0.05458704616117737,0.2095441545833222,-0.41961275253949776,0.24366666666666667,0.5747782983274167,0.0,1.497556789120107,1.4896052378094313
constant leverage,1.75,0.050112913613124574,0.23453523313175195,-0.481698564137814,0.43566666666666665,0.5027258354411823,0.0,1.7460936284691886,1.7317917333435993
constant leverage,2.0,0.042482199335017734,0.2579721216427855,-0.540388493791907,0.6366666666666667,0.4354221828628405,0.0,1.9946304861448398,1.9723053436801377
constant leverage,2.5,0.013896582431061967,0.2950581968558146,-0.6517039557689657,0.8636666666666667,0.30482585825612174,0.0,2.491292864799491,2.4483647789405145
constant leverage,3.0,-0.022004738244593123,0.3190157845677173,-0.7317347371404384,0.9636666666666667,0.22163961875212146,7.0,2.9844788624260463,2.9166918302671565
fixed dollar loan,1.0,0.057109532951225575,0.1556948512699322,-0.2860531106351157,0.019333333333333334,0.724317541708461,0.0,1.0,1.0
fixed dollar loan,1.25,0.05758592302473123,0.16398694755771304,-0.30725947543264465,0.037,0.6731500937849441,0.0,1.0698529429908628,1.02173145755325
fixed dollar loan,1.5,0.058295325757438635,0.1722106168449652,-0.32631985535140284,0.06666666666666667,0.6226540004424516,0.0,1.1368051072373908,1.0416615842944896
fixed dollar loan,1.75,0.05831615034959489,0.1799000426160562,-0.3441578150836553,0.10266666666666667,0.5746775772159143,0.0,1.200738691443517,1.0601104704939497
fixed dollar loan,2.0,0.058452020628121486,0.18697300685377216,-0.3615617282940347,0.15133333333333332,0.5231136947898453,0.0,1.2621088229921693,1.0765083908445938
fixed dollar loan,2.5,0.05528880912082952,0.2004870540053919,-0.39554548023794456,0.24766666666666667,0.42501394246602947,0.0,1.3752424317143876,1.1046440438724094
fixed dollar loan,3.0,0.05066866816337825,0.2119390949439317,-0.43343080317536226,0.33466666666666667,0.34768056418562937,0.0,1.4737295868415772,1.1263036866710674
