band,lower,upper,utility,median_cagr,p05_cagr,mean_leverage,trades
0.02,0.98,1.02,-0.2971421927074423,0.11681595201177808,0.048348180238354944,1.0,0.0
0.04,0.96,1.04,-0.2971421927074423,0.11681595201177808,0.048348180238354944,1.0,0.0
0.06,0.94,1.06,-0.2971421927074423,0.11681595201177808,0.048348180238354944,1.0,0.0
0.08,0.92,1.08,-0.2971421927074423,0.11681595201177808,0.048348180238354944,1.0,0.0
0.1,0.9,1.1,-0.2971421927074423,0.11681595201177808,0.048348180238354944,1.0,0.0
0.125,0.875,1.125,-0.2971421927074423,0.11681595201177808,0.048348180238354944,1.0,0.0
0.15,0.85,1.15,-0.2971421927074423,0.11681595201177808,0.048348180238354944,1.0,0.0
0.2,0.8,1.2,-0.2971421927074423,0.11681595201177808,0.048348180238354944,1.0,0.0
0.25,0.75,1.25,-0.2971421927074423,0.11681595201177808,0.048348180238354944,1.0,0.0
0.3,0.7,1.3,-0.2971421927074423,0.11681595201177808,0.048348180238354944,1.0,0.0
