criterion,leverage,basis
growth-optimal (median CAGR),1.5728868827531317,maximises median 10y CAGR across bootstrap paths
robust-optimal (5th pct CAGR),1.0,maximises the 5th percentile of 10y CAGR
robust-optimal (25th pct CAGR),1.0,maximises the 25th percentile of 10y CAGR
full Kelly (SPMO 2015-2026 (live only)),3.292378630372425,growth-optimal under that sample's drift estimate
half Kelly (SPMO 2015-2026 (live only)),1.6461893151862126,haircut for drift-estimation error
"full Kelly (1926-2026, alpha believed)",2.373521860094758,growth-optimal under that sample's drift estimate
"half Kelly (1926-2026, alpha believed)",1.186760930047379,haircut for drift-estimation error
"full Kelly (1926-2026, alpha zeroed)",1.5703766068755023,growth-optimal under that sample's drift estimate
"half Kelly (1926-2026, alpha zeroed)",0.7851883034377511,haircut for drift-estimation error
drawdown budget -25% (median),,largest leverage with median max drawdown inside -25%
drawdown budget -35% (median),,largest leverage with median max drawdown inside -35%
drawdown budget -50% (median),1.395646296613092,largest leverage with median max drawdown inside -50%
