                  case  leverage  median_twr_cagr  p05_twr_cagr  median_terminal_equity  median_withdrawn  p_unpaid_withdrawal  p_liquidation  p_ruin  worst_ruin_deficit  median_max_drawdown  geometric_twr_cagr
         constant_rate      1.00           0.1174        0.0086             151692.0712               0.0               0.0000         0.0000  0.0000              0.0000              -0.3395              0.1171
         constant_rate      1.25           0.1268       -0.0053             165008.3377               0.0               0.0000         0.0000  0.0000              0.0000              -0.4140              0.1260
         constant_rate      1.50           0.1355       -0.0221             178138.1363               0.0               0.0000         0.0000  0.0000              0.0000              -0.4950              0.1342
         constant_rate      1.75           0.1405       -0.0432             186118.3850               0.0               0.0000         0.0000  0.0000              0.0000              -0.5657              0.1395
         constant_rate      2.00           0.1425       -0.0693             189442.6593               0.0               0.0000         0.0000  0.0000              0.0000              -0.6311              0.1420
paired_rate_equal_mean      1.00           0.1174        0.0086             151692.0712               0.0               0.0000         0.0000  0.0000              0.0000              -0.3395              0.1171
paired_rate_equal_mean      1.25           0.1260       -0.0047             163750.1382               0.0               0.0000         0.0000  0.0000              0.0000              -0.4138              0.1259
paired_rate_equal_mean      1.50           0.1351       -0.0218             177469.0059               0.0               0.0000         0.0000  0.0000              0.0000              -0.4955              0.1339
paired_rate_equal_mean      1.75           0.1411       -0.0444             187191.9570               0.0               0.0000         0.0000  0.0000              0.0000              -0.5673              0.1394
paired_rate_equal_mean      2.00           0.1431       -0.0680             190461.9711               0.0               0.0000         0.0000  0.0000              0.0000              -0.6277              0.1419
  paired_rate_stress50      1.00           0.1174        0.0086             151692.0712               0.0               0.0000         0.0000  0.0000              0.0000              -0.3395              0.1171
  paired_rate_stress50      1.25           0.1260       -0.0047             163750.1382               0.0               0.0000         0.0000  0.0000              0.0000              -0.4138              0.1259
  paired_rate_stress50      1.50           0.1351       -0.0218             177469.0059               0.0               0.0000         0.0000  0.0000              0.0000              -0.4955              0.1339
  paired_rate_stress50      1.75           0.1411       -0.0444             187191.9570               0.0               0.0000         0.2168  0.0000              0.0000              -0.5673              0.1394
  paired_rate_stress50      2.00           0.1418       -0.0682             188230.1559               0.0               0.0000         0.9688  0.0000              0.0000              -0.6263              0.1415
  paired_rate_stress75      1.00           0.1174        0.0086             151692.0712               0.0               0.0000         0.0000  0.0000              0.0000              -0.3395              0.1171
  paired_rate_stress75      1.25           0.1266       -0.0053             164749.6106               0.0               0.0000         0.6035  0.0000              0.0000              -0.4131              0.1260
  paired_rate_stress75      1.50           0.1322       -0.0240             173029.6654               0.0               0.0000         0.9785  0.0000              0.0000              -0.4866              0.1320
  paired_rate_stress75      1.75           0.1359       -0.0440             178843.3799               0.0               0.0000         0.9785  0.0000              0.0000              -0.5453              0.1356
  paired_rate_stress75      2.00           0.1381       -0.0681             182318.1434               0.0               0.0000         0.9785  0.0000              0.0000              -0.6011              0.1373
        mean_minus_2pp      1.00           0.0953       -0.0114             124203.0172               0.0               0.0000         0.0000  0.0000              0.0000              -0.3591              0.0949
        mean_minus_2pp      1.25           0.0996       -0.0310             129224.1911               0.0               0.0000         0.0000  0.0000              0.0000              -0.4384              0.0991
        mean_minus_2pp      1.50           0.1026       -0.0521             132783.3446               0.0               0.0000         0.0000  0.0000              0.0000              -0.5219              0.1011
        mean_minus_2pp      1.75           0.1010       -0.0791             130831.4252               0.0               0.0000         0.0000  0.0000              0.0000              -0.5898              0.1006
        mean_minus_2pp      2.00           0.0980       -0.1061             127367.4912               0.0               0.0000         0.0000  0.0000              0.0000              -0.6554              0.0973
        mean_minus_4pp      1.00           0.0736       -0.0309             101693.8105               0.0               0.0000         0.0000  0.0000              0.0000              -0.3768              0.0733
        mean_minus_4pp      1.25           0.0742       -0.0569             102291.0893               0.0               0.0000         0.0000  0.0000              0.0000              -0.4655              0.0723
        mean_minus_4pp      1.50           0.0702       -0.0803              98503.9585               0.0               0.0000         0.0000  0.0000              0.0000              -0.5471              0.0691
        mean_minus_4pp      1.75           0.0644       -0.1069              93335.0488               0.0               0.0000         0.0000  0.0000              0.0000              -0.6220              0.0634
        mean_minus_4pp      2.00           0.0551       -0.1405              85505.8840               0.0               0.0000         0.0000  0.0000              0.0000              -0.6912              0.0547
 withdraw_1000_monthly      1.00           0.1173        0.0085                193.2610           67000.0               0.9473         0.0000  0.0000              0.0000              -0.3396              0.1169
 withdraw_1000_monthly      1.25           0.1280       -0.0093                259.8413           70000.0               0.8652         0.4531  0.0000              0.0000              -0.4302              0.1273
 withdraw_1000_monthly      1.50           0.1373       -0.0258                265.9839           71500.0               0.8066         0.6270  0.0078              0.3930              -0.5045              0.1346
 withdraw_1000_monthly      1.75           0.1380       -0.0444                267.0279           72000.0               0.7695         0.7383  0.0078              0.5412              -0.5698              0.1391
 withdraw_1000_monthly      2.00           0.1403       -0.0712                251.4118           73000.0               0.7305         0.9785  0.0098              0.8753              -0.6300              0.1399
