case,leverage,median_twr_cagr,p05_twr_cagr,median_terminal_equity,median_withdrawn,p_unpaid_withdrawal,p_liquidation,p_ruin,worst_ruin_deficit,median_max_drawdown,geometric_twr_cagr
constant_rate,1.0,0.11737586330146232,0.008610412956511016,151692.07116809336,0.0,0.0,0.0,0.0,0.0,-0.33946105669559495,0.11705374780514119
constant_rate,1.25,0.12681719729128482,-0.005306864180146507,165008.3377295577,0.0,0.0,0.0,0.0,0.0,-0.4140265707735281,0.12595834328634664
constant_rate,1.5,0.13547769247305863,-0.022102308207603803,178138.13629801542,0.0,0.0,0.0,0.0,0.0,-0.49498857417957975,0.13423018654402588
constant_rate,1.75,0.14046485637977046,-0.043207961933303424,186118.38504900222,0.0,0.0,0.0,0.0,0.0,-0.56573657181391,0.139526797723004
constant_rate,2.0,0.1424851080563685,-0.06925451439480551,189442.65930288305,0.0,0.0,0.0,0.0,0.0,-0.6310744554086183,0.1420164308625669
paired_rate_equal_mean,1.0,0.11737586330146232,0.008610412956511016,151692.07116809336,0.0,0.0,0.0,0.0,0.0,-0.33946105669559495,0.11705374780514119
paired_rate_equal_mean,1.25,0.12595533346964727,-0.004670838891972882,163750.1382234037,0.0,0.0,0.0,0.0,0.0,-0.4137760160939288,0.12592300061422157
paired_rate_equal_mean,1.5,0.13505043870544997,-0.021791027194669653,177469.0059406405,0.0,0.0,0.0,0.0,0.0,-0.4954558432291537,0.1338756891199908
paired_rate_equal_mean,1.75,0.1411208904377298,-0.04440852058336781,187191.95695858542,0.0,0.0,0.0,0.0,0.0,-0.5673456934015085,0.13938504688443684
paired_rate_equal_mean,2.0,0.14309885344153994,-0.06803199081727594,190461.97112708056,0.0,0.0,0.0,0.0,0.0,-0.6276848128474679,0.14193288939029675
paired_rate_stress50,1.0,0.11737586330146232,0.008610412956511016,151692.07116809336,0.0,0.0,0.0,0.0,0.0,-0.33946105669559495,0.11705374780514119
paired_rate_stress50,1.25,0.12595533346964727,-0.004670838891972882,163750.1382234037,0.0,0.0,0.0,0.0,0.0,-0.4137760160939288,0.12592300061422157
paired_rate_stress50,1.5,0.13505043870544997,-0.021791027194669653,177469.0059406405,0.0,0.0,0.0,0.0,0.0,-0.4954558432291537,0.1338756891199908
paired_rate_stress50,1.75,0.1411208904377298,-0.04440852058336781,187191.95695858542,0.0,0.0,0.216796875,0.0,0.0,-0.5673456934015085,0.13938371441228992
paired_rate_stress50,2.0,0.14175134879843865,-0.06821394807898615,188230.15592633537,0.0,0.0,0.96875,0.0,0.0,-0.6263034301553383,0.14146615536798485
paired_rate_stress75,1.0,0.11737586330146232,0.008610412956511016,151692.07116809336,0.0,0.0,0.0,0.0,0.0,-0.33946105669559495,0.11705374780514119
paired_rate_stress75,1.25,0.12664069552176327,-0.005315413765580135,164749.61061357422,0.0,0.0,0.603515625,0.0,0.0,-0.41306138521865887,0.12603143594152474
paired_rate_stress75,1.5,0.13217864563433912,-0.024019452223449162,173029.6653916582,0.0,0.0,0.978515625,0.0,0.0,-0.48657878433999896,0.131958545498885
paired_rate_stress75,1.75,0.13592664405821298,-0.044046529096045096,178843.3799124248,0.0,0.0,0.978515625,0.0,0.0,-0.5452768451581187,0.13555087012948955
paired_rate_stress75,2.0,0.13811451381995932,-0.06811106893219837,182318.14339853392,0.0,0.0,0.978515625,0.0,0.0,-0.6010795041332707,0.13732341252535377
mean_minus_2pp,1.0,0.09525744087690258,-0.011363152814517058,124203.01724591228,0.0,0.0,0.0,0.0,0.0,-0.35913426644712143,0.09494178677732082
mean_minus_2pp,1.25,0.09960579388178759,-0.031007136512083536,129224.19111497884,0.0,0.0,0.0,0.0,0.0,-0.4383782049430344,0.099114396483369
